Start visited at 2024-04-16 22:50:57.958662
Learn 1 visited at 2024-04-16 22:50:57.973623
Quiz 1 visited at 2024-04-16 22:51:23.771864
Learn 2 visited at 2024-04-16 22:51:37.563407
Quiz 2 visited at 2024-04-16 22:51:59.938269
Learn 3 visited at 2024-04-16 22:52:01.563599
Quiz 3 visited at 2024-04-16 22:52:03.379002
Learn 4 visited at 2024-04-16 22:52:04.358270
Learn 5 visited at 2024-04-16 22:52:06.636413
Quiz 5 visited at 2024-04-16 22:52:08.819460
Learn 4 visited at 2024-04-16 22:52:19.405189
Learn 3 visited at 2024-04-16 22:52:20.374416
Learn 1 visited at 2024-04-16 22:53:35.413798
